"Date","Open","High","Low","Close","Volume","Change %"
"
      Feb 07, 2018
    ","22.66","22.77","22.44","22.47","3,749,364","
      -2.09 %
    "
"
      Feb 06, 2018
    ","22.46","23.03","22.32","22.95","10,479,940","
      0.97 %
    "
"
      Feb 05, 2018
    ","23.30","23.43","22.68","22.73","6,553,011","
      -3.36 %
    "
"
      Feb 02, 2018
    ","23.75","23.79","23.47","23.52","4,145,989","
      -1.51 %
    "
"
      Feb 01, 2018
    ","23.76","23.94","23.74","23.88","2,543,822","
      0.46 %
    "
"
      Jan 31, 2018
    ","23.92","23.97","23.72","23.77","2,027,841","
      0.08 %
    "
"
      Jan 30, 2018
    ","23.83","23.87","23.70","23.75","1,892,038","
      -0.79 %
    "
"
      Jan 29, 2018
    ","23.99","24.05","23.91","23.94","1,426,398","
      -0.71 %
    "
"
      Jan 26, 2018
    ","23.97","24.18","23.95","24.11","3,685,208","
      1.26 %
    "
"
      Jan 25, 2018
    ","24.00","24.00","23.70","23.81","2,608,730","
      -0.29 %
    "
"
      Jan 24, 2018
    ","23.96","24.00","23.78","23.88","2,281,849","
      0.59 %
    "
"
      Jan 23, 2018
    ","23.63","23.76","23.61","23.74","1,778,050","
      0.21 %
    "
"
      Jan 22, 2018
    ","23.59","23.69","23.56","23.69","1,923,300","
      0.13 %
    "
"
      Jan 19, 2018
    ","23.64","23.69","23.62","23.66","1,088,078","
      0.21 %
    "
"
      Jan 18, 2018
    ","23.64","23.66","23.56","23.61","1,176,806","
      0.08 %
    "
"
      Jan 17, 2018
    ","23.45","23.69","23.39","23.59","2,164,759","
      0.55 %
    "
"
      Jan 16, 2018
    ","23.56","23.61","23.37","23.46","2,161,161","
      -0.89 %
    "
"
      Jan 12, 2018
    ","23.50","23.69","23.47","23.67","1,428,605","
      0.55 %
    "
"
      Jan 11, 2018
    ","23.43","23.56","23.40","23.54","1,057,161","
      0.60 %
    "
"
      Jan 10, 2018
    ","23.37","23.47","23.32","23.40","1,811,157","
      -0.85 %
    "
"
      Jan 09, 2018
    ","23.58","23.63","23.53","23.60","2,805,034","
      0.13 %
    "
"
      Jan 08, 2018
    ","23.56","23.58","23.51","23.57","3,976,704","
      -0.55 %
    "
"
      Jan 05, 2018
    ","23.62","23.73","23.57","23.70","1,594,871","
      0.59 %
    "
"
      Jan 04, 2018
    ","23.43","23.56","23.41","23.56","2,394,571","
      0.38 %
    "
"
      Jan 03, 2018
    ","23.37","23.48","23.36","23.47","1,557,370","
      0.64 %
    "
"
      Jan 02, 2018
    ","23.25","23.33","23.20","23.32","1,615,302","
      0.65 %
    "
"
      Dec 29, 2017
    ","23.28","23.28","23.14","23.17","1,875,632","
      -0.09 %
    "
"
      Dec 28, 2017
    ","23.24","23.25","23.16","23.19","1,119,110","
      0.43 %
    "
"
      Dec 27, 2017
    ","23.03","23.11","23.03","23.09","1,917,121","
      0.52 %
    "
"
      Dec 26, 2017
    ","22.97","23.04","22.89","22.97","1,178,025","
      0.00 %
    "
"
      Dec 22, 2017
    ","22.91","22.98","22.84","22.97","1,861,613","
      0.48 %
    "
"
      Dec 21, 2017
    ","22.82","22.93","22.80","22.86","1,494,884","
      0.70 %
    "
"
      Dec 20, 2017
    ","22.78","22.79","22.67","22.70","1,765,656","
      0.00 %
    "
"
      Dec 19, 2017
    ","","
      0.56 Dividend
    ",""
"
      Dec 19, 2017
    ","22.75","22.76","22.68","22.70","4,317,155","
      -0.18 %
    "
"
      Dec 18, 2017
    ","22.76","22.82","22.71","22.74","3,072,262","
      0.69 %
    "
"
      Dec 15, 2017
    ","22.57","22.63","22.55","22.58","1,538,814","
      0.13 %
    "
"
      Dec 14, 2017
    ","22.64","22.65","22.56","22.56","1,766,494","
      -0.26 %
    "
"
      Dec 13, 2017
    ","22.48","22.70","22.47","22.61","2,652,792","
      1.49 %
    "
"
      Dec 12, 2017
    ","22.27","22.33","22.24","22.28","2,416,311","
      0.53 %
    "
"
      Dec 11, 2017
    ","22.07","22.18","22.07","22.17","1,621,941","
      0.22 %
    "
"
      Dec 08, 2017
    ","22.15","22.16","22.07","22.12","1,725,558","
      0.31 %
    "
"
      Dec 07, 2017
    ","22.00","22.09","21.98","22.05","1,703,686","
      -0.04 %
    "
"
      Dec 06, 2017
    ","22.11","22.12","22.04","22.06","1,007,377","
      -0.26 %
    "
"
      Dec 05, 2017
    ","22.24","22.25","22.12","22.12","3,213,000","
      -0.18 %
    "
"
      Dec 04, 2017
    ","22.30","22.31","22.15","22.16","1,542,267","
      -0.66 %
    "
"
      Dec 01, 2017
    ","22.26","22.38","22.22","22.30","2,972,773","
      0.35 %
    "
"
      Nov 30, 2017
    ","22.29","22.31","22.19","22.22","2,208,955","
      -0.26 %
    "
"
      Nov 29, 2017
    ","22.33","22.35","22.23","22.28","1,881,162","
      -0.57 %
    "
"
      Nov 28, 2017
    ","22.39","22.50","22.36","22.41","3,082,099","
      0.57 %
    "
"
      Nov 27, 2017
    ","22.37","22.40","22.27","22.28","1,342,054","
      -0.44 %
    "
"
      Nov 24, 2017
    ","22.41","22.43","22.37","22.38","657,671","
      -0.04 %
    "
"
      Nov 22, 2017
    ","22.36","22.40","22.29","22.39","1,324,666","
      0.53 %
    "
"
      Nov 21, 2017
    ","22.23","22.31","22.23","22.27","2,828,805","
      0.62 %
    "
"
      Nov 20, 2017
    ","22.09","22.16","22.08","22.14","1,372,565","
      0.22 %
    "
"
      Nov 17, 2017
    ","22.07","22.13","22.03","22.09","1,252,032","
      -0.88 %
    "
"
      Nov 16, 2017
    ","22.18","22.28","22.18","22.28","1,175,414","
      0.66 %
    "
"
      Nov 15, 2017
    ","22.07","22.15","22.00","22.14","1,900,864","
      -0.31 %
    "
"
      Nov 14, 2017
    ","22.29","22.31","22.15","22.20","2,009,895","
      -1.13 %
    "
"
      Nov 13, 2017
    ","22.43","22.53","22.42","22.46","1,387,680","
      -0.69 %
    "
"
      Nov 10, 2017
    ","22.55","22.64","22.53","22.61","1,656,723","
      0.00 %
    "
"
      Nov 09, 2017
    ","22.55","22.64","22.52","22.61","1,450,866","
      0.22 %
    "
"
      Nov 08, 2017
    ","22.58","22.61","22.51","22.57","1,794,129","
      0.96 %
    "
"
      Nov 07, 2017
    ","22.41","22.41","22.29","22.35","2,467,790","
      -0.17 %
    "
"
      Nov 06, 2017
    ","22.24","22.40","22.24","22.39","991,419","
      0.39 %
    "
"
      Nov 03, 2017
    ","22.37","22.38","22.24","22.30","2,082,361","
      -0.57 %
    "
"
      Nov 02, 2017
    ","22.40","22.45","22.35","22.43","1,577,236","
      0.75 %
    "
"
      Nov 01, 2017
    ","22.30","22.40","22.25","22.26","2,151,614","
      0.48 %
    "
"
      Oct 31, 2017
    ","22.12","22.19","22.08","22.16","1,879,096","
      -0.26 %
    "
"
      Oct 30, 2017
    ","22.16","22.21","22.16","22.21","1,792,590","
      -0.18 %
    "
"
      Oct 27, 2017
    ","22.10","22.25","22.04","22.25","2,506,288","
      0.48 %
    "
"
      Oct 26, 2017
    ","22.25","22.26","22.15","22.15","1,874,262","
      0.00 %
    "
"
      Oct 25, 2017
    ","22.25","22.27","22.08","22.15","1,929,467","
      -1.35 %
    "
"
      Oct 24, 2017
    ","22.40","22.48","22.38","22.45","1,132,094","
      0.13 %
    "
"
      Oct 23, 2017
    ","22.50","22.51","22.39","22.42","1,371,484","
      -0.61 %
    "
"
      Oct 20, 2017
    ","22.61","22.61","22.51","22.56","1,453,081","
      0.00 %
    "
"
      Oct 19, 2017
    ","22.51","22.60","22.50","22.56","1,791,915","
      0.17 %
    "
"
      Oct 18, 2017
    ","22.55","22.56","22.47","22.52","2,162,492","
      0.00 %
    "
"
      Oct 17, 2017
    ","22.52","22.54","22.45","22.52","2,116,160","
      0.35 %
    "
"
      Oct 16, 2017
    ","22.45","22.48","22.40","22.44","1,620,833","
      0.13 %
    "
