"Date","Open","High","Low","Close","Volume","Change %"
"
      Feb 07, 2018
    ","28.13","28.32","28.05","28.06","3,778,813","
      -0.74 %
    "
"
      Feb 06, 2018
    ","27.67","28.34","27.37","28.27","10,299,561","
      0.43 %
    "
"
      Feb 05, 2018
    ","28.76","28.81","28.13","28.15","7,210,545","
      -2.80 %
    "
"
      Feb 02, 2018
    ","29.46","29.48","28.95","28.96","8,993,691","
      -2.75 %
    "
"
      Feb 01, 2018
    ","29.82","29.86","29.64","29.78","2,884,489","
      -0.33 %
    "
"
      Jan 31, 2018
    ","29.98","30.00","29.80","29.88","2,979,995","
      0.10 %
    "
"
      Jan 30, 2018
    ","29.94","30.04","29.81","29.85","2,811,304","
      -0.63 %
    "
"
      Jan 29, 2018
    ","30.20","30.22","30.04","30.04","1,936,749","
      -0.92 %
    "
"
      Jan 26, 2018
    ","30.28","30.39","30.16","30.32","2,698,095","
      0.40 %
    "
"
      Jan 25, 2018
    ","30.52","30.55","30.10","30.20","3,777,546","
      -0.72 %
    "
"
      Jan 24, 2018
    ","30.55","30.56","30.25","30.42","1,890,667","
      0.30 %
    "
"
      Jan 23, 2018
    ","30.15","30.34","30.01","30.33","2,904,528","
      0.23 %
    "
"
      Jan 22, 2018
    ","30.19","30.28","30.14","30.26","1,801,847","
      0.40 %
    "
"
      Jan 19, 2018
    ","30.25","30.29","30.13","30.14","1,572,619","
      -0.30 %
    "
"
      Jan 18, 2018
    ","30.21","30.31","30.13","30.23","4,103,228","
      -0.23 %
    "
"
      Jan 17, 2018
    ","30.28","30.42","30.02","30.30","5,869,239","
      0.23 %
    "
"
      Jan 16, 2018
    ","30.40","30.42","30.14","30.23","6,620,571","
      0.40 %
    "
"
      Jan 12, 2018
    ","30.11","30.16","29.97","30.11","1,762,773","
      0.33 %
    "
"
      Jan 11, 2018
    ","29.87","30.02","29.85","30.01","1,654,404","
      0.50 %
    "
"
      Jan 10, 2018
    ","30.09","30.19","29.78","29.86","4,996,857","
      -0.99 %
    "
"
      Jan 09, 2018
    ","30.30","30.30","30.14","30.16","2,465,101","
      -0.26 %
    "
"
      Jan 08, 2018
    ","30.32","30.38","30.23","30.24","2,498,434","
      -0.33 %
    "
"
      Jan 05, 2018
    ","30.43","30.60","30.33","30.34","1,546,926","
      0.36 %
    "
"
      Jan 04, 2018
    ","30.15","30.28","30.05","30.23","1,542,823","
      0.70 %
    "
"
      Jan 03, 2018
    ","29.95","30.07","29.90","30.02","2,781,480","
      0.37 %
    "
"
      Jan 02, 2018
    ","29.85","29.95","29.64","29.91","2,506,216","
      0.91 %
    "
"
      Dec 29, 2017
    ","29.78","29.82","29.56","29.64","3,204,955","
      0.07 %
    "
"
      Dec 28, 2017
    ","29.50","29.63","29.41","29.62","1,822,007","
      0.82 %
    "
"
      Dec 27, 2017
    ","29.41","29.44","29.32","29.38","2,107,221","
      0.41 %
    "
"
      Dec 26, 2017
    ","29.20","29.31","29.19","29.26","872,119","
      0.31 %
    "
"
      Dec 22, 2017
    ","29.08","29.18","29.02","29.17","1,407,840","
      0.07 %
    "
"
      Dec 21, 2017
    ","29.08","29.23","29.00","29.15","1,979,096","
      0.83 %
    "
"
      Dec 20, 2017
    ","28.88","28.94","28.77","28.91","2,106,079","
      0.42 %
    "
"
      Dec 19, 2017
    ","28.79","28.89","28.77","28.79","2,424,972","
      -0.11 %
    "
"
      Dec 19, 2017
    ","","
      0.37 Dividend
    ",""
"
      Dec 18, 2017
    ","28.80","28.98","28.76","28.82","1,806,008","
      0.66 %
    "
"
      Dec 15, 2017
    ","28.94","28.94","28.63","28.63","1,583,917","
      -0.65 %
    "
"
      Dec 14, 2017
    ","28.88","28.99","28.79","28.82","1,385,739","
      -0.31 %
    "
"
      Dec 13, 2017
    ","28.91","29.00","28.85","28.91","2,406,591","
      0.27 %
    "
"
      Dec 12, 2017
    ","28.85","28.86","28.75","28.83","1,395,409","
      0.14 %
    "
"
      Dec 11, 2017
    ","28.69","28.86","28.69","28.79","1,788,426","
      0.07 %
    "
"
      Dec 08, 2017
    ","28.78","28.80","28.69","28.77","1,086,689","
      0.34 %
    "
"
      Dec 07, 2017
    ","28.49","28.72","28.40","28.67","1,100,329","
      0.45 %
    "
"
      Dec 06, 2017
    ","28.78","28.85","28.54","28.54","2,925,615","
      -0.76 %
    "
"
      Dec 05, 2017
    ","28.91","28.97","28.76","28.76","2,230,244","
      -0.27 %
    "
"
      Dec 04, 2017
    ","29.10","29.15","28.83","28.84","1,790,426","
      -0.54 %
    "
"
      Dec 01, 2017
    ","28.88","29.05","28.82","29.00","3,490,471","
      1.49 %
    "
"
      Nov 30, 2017
    ","28.58","28.68","28.55","28.57","4,466,788","
      0.28 %
    "
"
      Nov 29, 2017
    ","28.66","28.66","28.40","28.50","1,816,236","
      -0.72 %
    "
"
      Nov 28, 2017
    ","28.79","28.80","28.65","28.70","2,051,561","
      -0.31 %
    "
"
      Nov 27, 2017
    ","29.07","29.08","28.78","28.79","1,502,867","
      -0.85 %
    "
"
      Nov 24, 2017
    ","28.98","29.08","28.98","29.04","727,316","
      0.07 %
    "
"
      Nov 22, 2017
    ","28.94","29.04","28.90","29.02","1,794,560","
      0.72 %
    "
"
      Nov 21, 2017
    ","28.73","28.93","28.73","28.81","1,674,584","
      0.48 %
    "
"
      Nov 20, 2017
    ","28.67","28.72","28.60","28.67","2,322,362","
      -0.03 %
    "
"
      Nov 17, 2017
    ","28.59","28.73","28.53","28.68","1,667,403","
      0.10 %
    "
"
      Nov 16, 2017
    ","28.53","28.70","28.49","28.65","1,728,839","
      0.42 %
    "
"
      Nov 15, 2017
    ","28.42","28.58","28.38","28.53","1,869,270","
      -0.38 %
    "
"
      Nov 14, 2017
    ","28.70","28.79","28.60","28.64","1,773,222","
      -0.65 %
    "
"
      Nov 13, 2017
    ","28.82","28.95","28.80","28.83","1,236,559","
      -0.41 %
    "
"
      Nov 10, 2017
    ","29.02","29.07","28.88","28.95","4,320,816","
      -0.31 %
    "
"
      Nov 09, 2017
    ","28.91","29.08","28.85","29.04","2,263,205","
      0.20 %
    "
"
      Nov 08, 2017
    ","28.95","29.01","28.88","28.98","1,696,786","
      0.27 %
    "
"
      Nov 07, 2017
    ","28.89","28.92","28.77","28.90","1,840,585","
      -0.20 %
    "
"
      Nov 06, 2017
    ","28.75","28.98","28.71","28.96","1,554,507","
      0.76 %
    "
"
      Nov 03, 2017
    ","28.70","28.77","28.62","28.74","2,124,906","
      0.48 %
    "
"
      Nov 02, 2017
    ","28.53","28.63","28.51","28.60","1,567,693","
      0.28 %
    "
"
      Nov 01, 2017
    ","28.54","28.61","28.47","28.53","2,038,877","
      0.35 %
    "
"
      Oct 31, 2017
    ","28.46","28.54","28.40","28.43","1,934,949","
      -0.45 %
    "
"
      Oct 30, 2017
    ","28.39","28.56","28.39","28.55","1,636,321","
      0.31 %
    "
"
      Oct 27, 2017
    ","28.19","28.47","28.14","28.47","1,677,926","
      0.63 %
    "
"
      Oct 26, 2017
    ","28.36","28.41","28.28","28.29","1,904,450","
      -0.24 %
    "
"
      Oct 25, 2017
    ","28.67","28.69","28.24","28.36","2,943,310","
      -1.10 %
    "
"
      Oct 24, 2017
    ","28.73","28.79","28.64","28.67","1,337,918","
      0.03 %
    "
"
      Oct 23, 2017
    ","28.71","28.76","28.64","28.66","2,262,821","
      -0.24 %
    "
"
      Oct 20, 2017
    ","28.86","28.86","28.70","28.73","1,624,368","
      -0.78 %
    "
"
      Oct 19, 2017
    ","28.81","29.01","28.80","28.96","1,035,766","
      0.17 %
    "
"
      Oct 18, 2017
    ","28.93","28.97","28.86","28.91","1,276,748","
      0.41 %
    "
"
      Oct 17, 2017
    ","28.76","28.83","28.67","28.79","1,856,688","
      -0.03 %
    "
"
      Oct 16, 2017
    ","28.84","28.89","28.77","28.80","2,572,372","
      -0.31 %
    "
"
      Oct 13, 2017
    ","28.87","28.93","28.83","28.89","1,472,836","
      0.27 %
    "
"
      Oct 12, 2017
    ","28.85","28.88","28.77","28.81","2,244,593","
      -0.34 %
    "
